Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,Num_of_Baskets,weather,Period,Week_Day,Is_Holiday,City
,female,,53,no,,,,,white,,,short,clothes,6,8,no,35,5,11,1,Partly cloudy,Early Morning,Sunday,no,Putrajaya
chinese,female,thin,41,,no_kids,big,white,formal,white,,red,short,clothes,6,7,no,18,5,7,2,Partly cloudy,Early Morning,Sunday,no,Putrajaya
foreigner,,,42,,no_kids,big,white,casual,green,short_sleeve,black,short,clothes,3,10,,,5,17,1,Partly cloudy,Early Morning,Sunday,no,Putrajaya
chinese,male,thin,,no,no_kids,big,pink,formal,yellow,short_sleeve,black,short,blankets,5,8,no,,3,18,3,Partly cloudy,Early Morning,Sunday,no,Sepang
malay,female,,30,yes,toddler,big,,,,,,short,blankets,6,9,no,29,2,7,1,Partly cloudy,Early Morning,Sunday,no,Putrajaya
malay,female,thin,29,yes,baby,big,white,formal,white,short_sleeve,red,short,blankets,6,8,no,46,4,15,1,Partly cloudy,Early Morning,Sunday,no,Sepang
malay,female,thin,44,yes,baby,big,white,formal,white,short_sleeve,red,short,blankets,6,7,no,20,5,9,2,Partly cloudy,Early Morning,Sunday,no,Sepang
chinese,,,55,yes,toddler,big,pink,casual,white,short_sleeve,red,short,blankets,3,10,no,16,4,17,2,Partly cloudy,Early Morning,Sunday,no,Putrajaya
malay,female,thin,40,yes,toddler,big,orange,casual,purple,,purple,short,blankets,4,10,no,28,4,19,2,Partly cloudy,Early Morning,Sunday,no,Sepang
malay,female,thin,50,yes,baby,big,blue,formal,orange,short_sleeve,red,short,blankets,4,10,no,44,0,18,3,Partly cloudy,Early Morning,Sunday,no,Sepang
malay,female,thin,42,yes,baby,big,black,formal,pink,,red,short,blankets,4,10,no,,2,19,1,Partly cloudy,Early Morning,Sunday,no,Sepang
malay,female,thin,,yes,baby,big,orange,,purple,,red,short,blankets,3,8,no,27,2,17,1,Partly cloudy,Early Morning,Sunday,no,Putrajaya
malay,female,,30,yes,baby,big,black,formal,orange,short_sleeve,,short,clothes,6,8,no,16,2,,,Partly cloudy,Early Morning,Sunday,no,Putrajaya
malay,female,thin,45,yes,baby,big,red,formal,pink,short_sleeve,blue,short,blankets,5,7,,30,5,9,2,Partly cloudy,Early Morning,Sunday,no,Sepang
malay,female,thin,45,,baby,big,grey,,purple,short_sleeve,white,short,blankets,4,7,no,59,2,12,2,Partly cloudy,Early Morning,Sunday,no,Sepang
malay,female,,32,yes,toddler,big,black,casual,orange,short_sleeve,black,short,blankets,3,7,no,,4,,2,Partly cloudy,Early Morning,Sunday,no,Sepang
malay,female,thin,33,yes,baby,,black,formal,pink,short_sleeve,pink,long,blankets,6,7,yes,33,1,12,1,Partly cloudy,Early Morning,Sunday,no,Sepang
malay,male,,50,no,no_kids,big,orange,casual,green,short_sleeve,orange,short,clothes,4,9,no,51,2,20,3,Partly cloudy,Early Morning,Sunday,no,Sepang
malay,male,fat,38,,toddler,big,blue,casual,orange,,blue_jeans,long,clothes,6,10,no,53,5,7,2,Light rain,Morning,Sunday,no,Sepang
chinese,male,thin,28,no,no_kids,,,casual,green,short_sleeve,black,long,clothes,3,8,no,16,2,11,1,Light rain,Morning,Sunday,no,Putrajaya
malay,male,thin,46,no,no_kids,big,yellow,casual,grey,short_sleeve,blue_jeans,long,clothes,6,10,no,37,5,13,1,Broken clouds,Morning,Sunday,no,Sepang
malay,male,,34,no,no_kids,big,black,casual,green,short_sleeve,black,long,blankets,6,7,no,52,2,12,1,Broken clouds,Morning,Saturday,no,Sepang
malay,,thin,33,no,no_kids,small,white,casual,white,long sleeve,brown,long,clothes,3,7,no,44,1,13,1,Partly sunny,Noon,Saturday,no,Putrajaya
malay,male,thin,37,no,no_kids,small,blue,casual,blue,short_sleeve,blue_jeans,long,blankets,6,10,no,27,1,21,1,Partly sunny,Noon,Saturday,no,Sepang
malay,female,thin,42,,no_kids,small,pink,traditional,black,,black,long,clothes,5,8,no,56,1,16,,Strong thunderstorms,Evening,Saturday,no,Putrajaya
malay,female,thin,45,,baby,big,blue,casual,red,long sleeve,,long,,4,7,yes,42,4,11,3,Strong thunderstorms,Evening,Saturday,no,Sepang
malay,,thin,,yes,baby,big,blue,casual,green,short_sleeve,black,short,,6,8,,22,3,20,1,Strong thunderstorms,Evening,Saturday,no,Sepang
malay,female,moderate,44,,young,big,black,casual,white,long sleeve,black,long,,6,7,yes,21,2,14,2,Strong thunderstorms,Evening,Saturday,no,Putrajaya
malay,female,moderate,39,yes,,big,blue,traditional,green,,,long,,3,9,yes,18,1,21,3,Strong thunderstorms,Evening,Saturday,no,Sepang
malay,female,moderate,50,yes,young,big,blue,,,short_sleeve,black,long,,3,9,no,36,2,15,,Strong thunderstorms,Evening,Saturday,no,Putrajaya
malay,female,moderate,,yes,toddler,,white,casual,white,short_sleeve,grey,long,,4,7,,56,1,12,1,Broken clouds,Evening,Saturday,no,Putrajaya
indian,male,,42,no,no_kids,,grey,casual,white,short_sleeve,orange,short,,4,8,no,17,2,15,3,Partly sunny,Evening,Saturday,no,Kuala Lumpur
malay,female,thin,40,no,no_kids,small,white,casual,grey,long sleeve,,long,,3,8,no,13,5,17,1,Partly sunny,Night,Saturday,no,Majlis Perbandaran Ampang Jaya
malay,female,moderate,45,no,no_kids,small,white,casual,red,long sleeve,black,long,clothes,3,10,no,41,3,21,1,Partly sunny,Night,Saturday,no,Kuala Lumpur
malay,male,fat,34,no,no_kids,big,grey,casual,white,short_sleeve,black,long,blankets,3,7,no,25,,14,3,Partly sunny,Night,Saturday,no,Majlis Perbandaran Kajang
malay,female,moderate,53,no,no_kids,big,purple,traditional,,long sleeve,pink,long,clothes,3,7,,31,,18,3,Partly sunny,Night,Saturday,no,Majlis Perbandaran Ampang Jaya
indian,female,moderate,,no,no_kids,big,green,traditional,brown,short_sleeve,black,long,,6,10,no,51,1,14,2,Partly sunny,Night,Saturday,no,Kuala Lumpur
malay,male,moderate,29,no,no_kids,big,,casual,white,short_sleeve,black,long,blankets,4,8,no,59,,10,2,Partly sunny,Night,Saturday,no,Kuala Lumpur
foreigner,female,moderate,57,no,toddler,small,blue,traditional,blue,long sleeve,green,long,clothes,3,9,no,37,4,15,2,Partly cloudy,Night,Thursday,no,Kuala Lumpur
,male,moderate,52,yes,no_kids,big,,traditional,green,long sleeve,black,short,,4,9,no,15,4,10,1,Broken clouds,Morning,Sunday,no,Majlis Perbandaran Ampang Jaya
malay,female,fat,37,yes,toddler,small,brown,traditional,blue,long sleeve,blue,long,,5,7,yes,54,,13,2,Thunderstorms,Night,Wednesday,no,Majlis Perbandaran Ampang Jaya
foreigner,female,fat,33,no,toddler,small,white,casual,red,short_sleeve,red,short,blankets,4,8,yes,57,3,10,3,Partly cloudy,Late Night,Thursday,no,Kuala Lumpur
malay,female,,23,no,toddler,big,orange,casual,yellow,,green,short,blankets,6,7,,48,,12,2,Passing clouds,Night,Thursday,no,Kuala Lumpur
chinese,female,moderate,28,no,toddler,,,traditional,brown,long sleeve,blue,long,blankets,6,7,no,15,4,7,1,Light rain,Evening,Monday,no,Kuala Lumpur
,female,thin,45,yes,baby,small,purple,formal,white,long sleeve,purple,short,blankets,4,8,no,53,4,10,1,Broken clouds,Evening,Monday,no,Kuala Lumpur
malay,female,fat,33,,toddler,small,white,traditional,black,short_sleeve,orange,long,clothes,3,10,,22,,9,3,Partly cloudy,Morning,Tuesday,no,Kuala Lumpur
malay,female,moderate,59,no,young,big,blue,formal,,short_sleeve,brown,short,,3,8,yes,35,1,19,2,Broken clouds,Evening,Wednesday,no,Majlis Perbandaran Ampang Jaya
malay,,thin,60,no,young,small,orange,traditional,blue,long sleeve,black,long,blankets,6,10,no,51,3,16,3,Partly cloudy,Late Night,Friday,no,Majlis Perbandaran Ampang Jaya
,male,,53,no,toddler,big,white,formal,,short_sleeve,white,long,blankets,3,7,no,50,2,17,2,Broken clouds,Noon,Friday,no,Kuala Lumpur
indian,male,moderate,43,no,no_kids,big,green,formal,grey,short_sleeve,,long,clothes,4,7,,30,,10,1,Broken clouds,Noon,Saturday,no,Kuala Lumpur
indian,male,thin,39,no,toddler,small,white,formal,blue,long sleeve,yellow,long,clothes,5,8,no,29,,13,3,Partly sunny,Morning,Saturday,no,Majlis Perbandaran Ampang Jaya
,male,moderate,49,yes,young,big,purple,,blue,short_sleeve,blue,short,clothes,3,9,yes,59,3,19,1,Thunderstorms,Evening,Sunday,no,Kuala Lumpur
malay,female,thin,43,yes,no_kids,big,blue,,black,long sleeve,blue_jeans,long,clothes,4,10,no,33,4,13,3,Broken clouds,Evening,Thursday,no,Majlis Perbandaran Ampang Jaya
foreigner,male,thin,20,no,toddler,big,white,formal,,short_sleeve,red,short,,5,9,,55,2,17,2,Broken clouds,Noon,Saturday,no,Kuala Lumpur
chinese,female,fat,32,no,toddler,big,pink,formal,yellow,short_sleeve,black,long,blankets,5,10,no,43,4,10,1,Broken clouds,Evening,Thursday,no,Majlis Perbandaran Ampang Jaya
malay,male,fat,,yes,toddler,big,,,white,short_sleeve,white,short,clothes,5,9,no,60,5,8,,Broken clouds,Noon,Friday,no,Majlis Perbandaran Ampang Jaya
malay,female,fat,25,yes,no_kids,small,white,traditional,,long sleeve,blue,long,clothes,6,7,,11,,8,2,Thunderstorms,Evening,Saturday,no,Majlis Perbandaran Ampang Jaya
chinese,female,thin,23,no,toddler,big,brown,casual,orange,long sleeve,black,short,blankets,6,8,yes,28,1,19,3,Partly cloudy,Night,Saturday,no,Kuala Lumpur
chinese,male,thin,25,yes,baby,big,purple,traditional,green,long sleeve,blue_jeans,long,blankets,6,8,no,24,0,17,3,Partly cloudy,Late Night,Saturday,no,Kuala Lumpur
foreigner,female,fat,21,no,young,big,blue,traditional,orange,short_sleeve,yellow,short,blankets,5,10,no,54,5,8,1,Partly cloudy,Night,Friday,no,Majlis Perbandaran Ampang Jaya
chinese,male,fat,38,yes,no_kids,big,yellow,formal,yellow,long sleeve,pink,long,blankets,4,9,,45,5,8,3,Partly cloudy,Early Morning,Saturday,no,Majlis Perbandaran Ampang Jaya
malay,male,fat,49,no,toddler,big,black,casual,blue,short_sleeve,blue,short,,4,10,no,29,1,16,2,Passing clouds,Morning,Tuesday,no,Kuala Lumpur
malay,male,moderate,22,yes,young,big,green,casual,,long sleeve,,long,blankets,4,7,yes,21,2,16,2,Broken clouds,Noon,Wednesday,no,Majlis Perbandaran Kajang
indian,female,moderate,54,,baby,big,black,casual,brown,short_sleeve,blue,long,blankets,3,7,yes,42,3,10,3,Passing clouds,Night,Monday,no,Majlis Perbandaran Ampang Jaya
indian,female,moderate,53,yes,no_kids,big,grey,traditional,black,long sleeve,blue,short,blankets,3,10,no,44,2,19,2,Broken clouds,Noon,Monday,no,Kuala Lumpur
,male,moderate,57,no,young,,white,casual,black,long sleeve,blue,long,clothes,4,8,no,37,5,10,3,Partly cloudy,Early Morning,Friday,no,Kuala Lumpur
indian,female,fat,,yes,baby,small,,,orange,short_sleeve,black,long,,5,9,yes,26,2,18,2,Partly cloudy,Night,Tuesday,no,Majlis Perbandaran Ampang Jaya
malay,female,moderate,59,,no_kids,big,yellow,formal,yellow,long sleeve,pink,short,clothes,3,8,yes,11,5,13,,Broken clouds,Evening,Thursday,no,Majlis Perbandaran Ampang Jaya
chinese,male,fat,42,no,no_kids,big,yellow,casual,,,yellow,short,clothes,3,9,yes,19,0,17,3,Thunderstorms,Night,Sunday,no,Kuala Lumpur
malay,male,thin,47,no,no_kids,small,purple,casual,,long sleeve,yellow,long,blankets,3,10,yes,60,3,21,2,Broken clouds,Morning,Wednesday,no,Majlis Perbandaran Ampang Jaya
chinese,male,thin,24,no,baby,big,black,traditional,orange,long sleeve,,short,,3,7,no,49,0,20,,Broken clouds,Evening,Sunday,no,Kuala Lumpur
,female,thin,60,no,toddler,small,blue,formal,red,long sleeve,red,long,clothes,6,10,no,17,0,7,3,Partly cloudy,Night,Saturday,no,Majlis Perbandaran Ampang Jaya
chinese,male,thin,47,no,toddler,big,white,,black,short_sleeve,blue,long,blankets,6,9,yes,22,1,12,3,Broken clouds,Evening,Tuesday,no,Majlis Perbandaran Ampang Jaya
malay,male,moderate,32,no,young,big,black,formal,green,,blue,long,,4,7,yes,52,3,14,2,Broken clouds,Evening,Wednesday,no,Kuala Lumpur
malay,male,fat,34,yes,no_kids,small,yellow,formal,orange,short_sleeve,blue,long,clothes,3,10,yes,36,5,7,2,Broken clouds,Noon,Sunday,no,Kuala Lumpur
malay,male,fat,42,,toddler,small,green,casual,green,long sleeve,white,short,blankets,5,8,no,51,2,18,2,Broken clouds,Noon,Sunday,no,Kuala Lumpur
chinese,male,,25,no,no_kids,small,brown,casual,brown,short_sleeve,yellow,short,blankets,3,8,yes,37,1,7,3,Partly sunny,Morning,Tuesday,no,Kuala Lumpur
malay,female,fat,54,,toddler,big,yellow,traditional,red,short_sleeve,black,short,blankets,5,7,yes,20,0,12,3,Partly sunny,Morning,Thursday,no,Kuala Lumpur
indian,male,thin,53,yes,baby,small,brown,traditional,red,short_sleeve,red,short,clothes,4,7,,51,5,7,1,Broken clouds,Evening,Monday,no,Kuala Lumpur
indian,male,thin,45,no,baby,big,brown,formal,white,long sleeve,purple,short,,5,10,yes,39,0,7,1,Partly cloudy,Late Night,Saturday,no,Majlis Perbandaran Ampang Jaya
indian,,,45,no,toddler,small,,formal,white,short_sleeve,blue,long,clothes,3,10,no,59,4,11,2,Partly cloudy,Night,Monday,no,Majlis Perbandaran Ampang Jaya
foreigner,,fat,24,no,toddler,big,blue,casual,blue,short_sleeve,blue,short,blankets,4,8,yes,40,1,7,3,Partly sunny,Morning,Wednesday,no,Kuala Lumpur
malay,female,thin,40,no,toddler,,,casual,orange,short_sleeve,blue,short,clothes,6,8,no,12,0,8,3,Broken clouds,Noon,Monday,no,Kuala Lumpur
,male,fat,59,yes,no_kids,small,,casual,black,short_sleeve,green,short,blankets,4,7,no,57,1,12,2,Partly cloudy,Late Night,Friday,no,Majlis Perbandaran Kajang
foreigner,male,fat,,no,baby,small,,traditional,orange,long sleeve,grey,short,blankets,3,10,no,39,1,17,1,Broken clouds,Evening,Saturday,no,Kuala Lumpur
chinese,,moderate,34,no,no_kids,big,blue,casual,black,short_sleeve,blue,short,clothes,6,8,no,48,1,21,2,Partly cloudy,Night,Thursday,yes,Kuala Lumpur
foreigner,female,moderate,57,no,young,small,yellow,traditional,,short_sleeve,,short,clothes,3,8,no,30,5,17,1,Thunderstorms,Evening,Sunday,yes,Kuala Lumpur
chinese,male,thin,24,yes,no_kids,small,blue,,purple,short_sleeve,yellow,short,clothes,3,8,,48,5,8,1,Broken clouds,Noon,Sunday,no,Kuala Lumpur
,female,fat,,yes,toddler,big,yellow,casual,grey,long sleeve,yellow,long,blankets,4,10,yes,17,2,7,3,Broken clouds,Evening,Monday,no,Kuala Lumpur
indian,male,thin,30,yes,young,,orange,traditional,purple,long sleeve,purple,short,blankets,5,8,no,41,0,10,3,Passing clouds,Early Morning,Tuesday,no,Kuala Lumpur
foreigner,female,moderate,52,no,no_kids,small,pink,traditional,white,,grey,short,blankets,6,10,yes,37,1,10,1,Passing clouds,Early Morning,Friday,no,Majlis Perbandaran Ampang Jaya
malay,female,,41,no,young,small,,formal,,short_sleeve,grey,long,clothes,4,7,yes,22,0,13,3,Passing clouds,Morning,Monday,no,Kuala Lumpur
malay,male,thin,55,,no_kids,small,purple,formal,white,short_sleeve,blue,short,clothes,6,7,no,55,3,13,2,Thunderstorms,Evening,Monday,no,Kuala Lumpur
foreigner,,fat,28,no,toddler,small,blue,traditional,pink,long sleeve,grey,long,clothes,5,7,no,13,5,17,2,Thunderstorms,Noon,Wednesday,no,Majlis Perbandaran Kajang
foreigner,female,moderate,55,yes,toddler,small,purple,,yellow,long sleeve,blue,short,clothes,4,8,,41,3,9,1,Partly cloudy,Night,Saturday,no,Kuala Lumpur
malay,male,thin,57,no,no_kids,small,brown,formal,brown,short_sleeve,pink,long,clothes,5,7,no,17,3,11,2,Partly cloudy,Late Night,Friday,no,Kuala Lumpur
indian,female,moderate,55,no,toddler,big,brown,,white,short_sleeve,yellow,short,clothes,3,9,no,17,1,13,1,Partly cloudy,Early Morning,Monday,no,Majlis Perbandaran Ampang Jaya
foreigner,female,fat,47,no,young,small,blue,formal,grey,long sleeve,white,long,blankets,5,10,yes,31,0,15,1,Broken clouds,Morning,Friday,no,Kuala Lumpur
chinese,male,fat,55,yes,baby,small,orange,traditional,black,long sleeve,black,long,,4,7,yes,48,5,9,2,Broken clouds,Night,Thursday,no,Kuala Lumpur
malay,female,moderate,35,yes,toddler,small,orange,casual,green,short_sleeve,white,long,blankets,3,10,no,,1,19,,Broken clouds,Night,Tuesday,no,Kuala Lumpur
foreigner,female,fat,22,,toddler,,brown,,grey,long sleeve,blue,long,blankets,5,8,no,21,2,14,3,Passing clouds,Morning,Thursday,no,Kuala Lumpur
malay,female,moderate,28,yes,toddler,small,,casual,orange,short_sleeve,white,long,,4,8,yes,,2,,3,Broken clouds,Noon,Thursday,no,Majlis Perbandaran Ampang Jaya
chinese,male,fat,47,,young,small,red,traditional,white,short_sleeve,green,short,blankets,5,8,yes,58,0,11,2,Broken clouds,Noon,Friday,no,Kuala Lumpur
malay,male,fat,20,no,no_kids,,black,formal,brown,long sleeve,,short,clothes,4,10,,,0,17,3,Broken clouds,Evening,Thursday,no,Kuala Lumpur
foreigner,male,fat,18,no,toddler,small,orange,casual,yellow,long sleeve,white,short,blankets,3,7,no,29,1,19,2,Partly cloudy,Late Night,Saturday,no,Majlis Perbandaran Ampang Jaya
indian,,fat,25,no,no_kids,,blue,traditional,yellow,short_sleeve,black,short,blankets,5,7,yes,29,1,10,,Broken clouds,Evening,Tuesday,no,Kuala Lumpur
chinese,male,fat,40,yes,baby,small,red,traditional,green,,purple,short,blankets,5,9,yes,51,3,19,3,Partly sunny,Morning,Wednesday,no,Kuala Lumpur
indian,,moderate,35,yes,baby,big,,,green,long sleeve,,short,clothes,3,7,yes,26,5,21,2,Partly cloudy,Morning,Sunday,yes,Kuala Lumpur
indian,female,fat,47,no,baby,big,purple,traditional,blue,long sleeve,pink,long,clothes,4,8,yes,42,3,20,2,Partly sunny,Morning,Saturday,no,Kuala Lumpur
indian,female,fat,47,yes,baby,,,casual,orange,long sleeve,blue_jeans,short,clothes,3,8,yes,,0,21,,Partly cloudy,Night,Saturday,no,Kuala Lumpur
chinese,,,53,no,baby,small,pink,casual,white,long sleeve,pink,short,blankets,3,8,no,12,3,11,1,Partly sunny,Night,Sunday,no,Kuala Lumpur
chinese,female,fat,27,yes,young,small,red,formal,green,short_sleeve,,short,clothes,4,8,no,43,0,8,1,Partly cloudy,Early Morning,Sunday,no,Kuala Lumpur
malay,male,moderate,29,no,toddler,small,red,traditional,green,long sleeve,white,long,blankets,4,8,no,49,3,17,2,Partly cloudy,Early Morning,Monday,no,Majlis Perbandaran Ampang Jaya
indian,female,thin,22,no,young,big,white,traditional,purple,long sleeve,red,long,blankets,5,7,no,24,3,21,3,Broken clouds,Noon,Tuesday,no,Kuala Lumpur
malay,male,fat,59,yes,toddler,small,purple,formal,red,short_sleeve,grey,long,,6,8,yes,59,4,7,2,Partly cloudy,Early Morning,Saturday,no,Kuala Lumpur
foreigner,female,moderate,54,yes,toddler,small,pink,casual,purple,long sleeve,white,short,clothes,3,8,no,59,5,18,3,Partly cloudy,Early Morning,Sunday,no,Kuala Lumpur
indian,female,thin,,yes,toddler,small,grey,casual,purple,short_sleeve,blue,short,blankets,3,10,yes,33,2,7,2,Partly cloudy,Night,Thursday,no,Kuala Lumpur
malay,male,thin,38,yes,no_kids,big,white,traditional,grey,long sleeve,brown,short,blankets,3,10,no,38,3,9,2,Partly cloudy,Early Morning,Tuesday,no,Majlis Perbandaran Ampang Jaya
malay,,,20,yes,no_kids,small,grey,formal,yellow,,grey,short,clothes,4,10,no,57,4,16,3,Light rain,Night,Sunday,no,Kuala Lumpur
indian,male,moderate,41,yes,toddler,small,white,traditional,red,long sleeve,black,long,clothes,6,8,yes,36,5,12,1,Partly sunny,Evening,Saturday,no,Majlis Perbandaran Kajang
foreigner,female,thin,24,no,no_kids,big,green,casual,blue,short_sleeve,blue,short,clothes,3,10,yes,41,2,7,2,Partly cloudy,Early Morning,Sunday,no,Kuala Lumpur
malay,male,,20,no,young,small,pink,,purple,long sleeve,orange,long,clothes,4,9,,13,3,19,3,Partly cloudy,Early Morning,Saturday,no,Kuala Lumpur
,,fat,24,yes,toddler,big,brown,formal,pink,short_sleeve,purple,long,clothes,4,7,,31,0,17,1,Broken clouds,Evening,Sunday,no,Majlis Perbandaran Ampang Jaya
chinese,male,thin,28,no,no_kids,small,,,yellow,long sleeve,pink,short,blankets,3,7,yes,46,1,11,3,Light rain,Evening,Sunday,no,Majlis Perbandaran Ampang Jaya
chinese,male,fat,45,yes,young,small,purple,traditional,black,short_sleeve,yellow,long,,6,9,no,28,2,13,3,Partly cloudy,Late Night,Monday,no,Majlis Perbandaran Ampang Jaya
foreigner,female,moderate,23,no,toddler,small,pink,traditional,pink,short_sleeve,pink,long,clothes,5,9,yes,53,0,10,,Broken clouds,Night,Friday,no,Kuala Lumpur
indian,male,fat,21,,no_kids,small,brown,traditional,,long sleeve,purple,short,blankets,5,9,no,16,5,16,,Passing clouds,Night,Wednesday,no,Majlis Perbandaran Kajang
foreigner,male,moderate,48,no,toddler,big,purple,casual,grey,short_sleeve,blue_jeans,short,blankets,4,9,,32,2,17,1,Partly cloudy,Early Morning,Wednesday,no,Kuala Lumpur
malay,male,fat,58,,young,small,pink,traditional,,short_sleeve,blue_jeans,short,blankets,6,10,yes,11,4,16,3,Passing clouds,Early Morning,Monday,no,Majlis Perbandaran Ampang Jaya
indian,female,moderate,27,yes,toddler,big,pink,traditional,black,short_sleeve,black,short,blankets,4,7,no,32,,14,3,Partly sunny,Night,Thursday,no,Kuala Lumpur
chinese,female,thin,48,yes,no_kids,big,brown,formal,green,short_sleeve,blue_jeans,long,blankets,3,8,yes,47,4,7,3,Broken clouds,Evening,Thursday,yes,Kuala Lumpur
malay,female,moderate,41,,no_kids,small,blue,,yellow,long sleeve,red,short,blankets,3,8,no,41,5,14,2,Partly sunny,Noon,Thursday,no,Kuala Lumpur
foreigner,female,,43,no,toddler,small,grey,casual,white,long sleeve,orange,long,blankets,3,8,yes,44,5,21,2,Partly sunny,Noon,Monday,no,Kuala Lumpur
foreigner,female,,56,yes,young,big,green,traditional,orange,long sleeve,yellow,short,clothes,3,9,no,50,3,12,,Partly cloudy,Morning,Wednesday,no,Majlis Perbandaran Kajang
foreigner,male,fat,48,no,toddler,small,orange,casual,brown,long sleeve,brown,short,clothes,4,10,no,15,0,12,3,Broken clouds,Morning,Monday,no,Kuala Lumpur
indian,female,fat,48,no,baby,small,red,formal,black,long sleeve,red,long,blankets,5,10,yes,15,5,15,,Broken clouds,Morning,Tuesday,no,Kuala Lumpur
chinese,male,fat,21,no,young,small,brown,casual,pink,long sleeve,pink,short,clothes,6,7,no,41,5,19,1,Passing clouds,Early Morning,Tuesday,no,Kuala Lumpur
malay,female,thin,55,yes,toddler,small,brown,traditional,purple,long sleeve,blue,long,blankets,5,10,no,22,3,14,,Passing clouds,Morning,Tuesday,no,Kuala Lumpur
,female,thin,,yes,young,big,yellow,formal,orange,long sleeve,blue,long,clothes,5,10,,39,,9,2,Partly cloudy,Late Night,Sunday,yes,Majlis Perbandaran Ampang Jaya
chinese,male,thin,36,yes,baby,small,,traditional,green,long sleeve,green,short,blankets,6,7,yes,58,2,20,2,Partly cloudy,Night,Wednesday,no,Kuala Lumpur
,male,fat,59,no,toddler,big,,casual,brown,long sleeve,orange,long,blankets,3,7,yes,40,,18,2,Passing clouds,Early Morning,Tuesday,no,Kuala Lumpur
malay,female,thin,60,yes,baby,small,,formal,purple,,brown,short,clothes,3,10,no,15,,17,2,Partly cloudy,Early Morning,Monday,no,Majlis Perbandaran Ampang Jaya
indian,female,fat,20,no,young,small,black,formal,black,short_sleeve,white,long,clothes,4,9,yes,14,4,11,1,Partly cloudy,Late Night,Wednesday,no,Majlis Perbandaran Kajang
indian,female,fat,44,no,toddler,,purple,traditional,,long sleeve,green,long,blankets,6,7,,33,3,11,1,Thunderstorms,Night,Wednesday,no,Kuala Lumpur
foreigner,male,fat,26,yes,toddler,big,green,casual,brown,short_sleeve,black,long,blankets,3,8,no,38,1,20,1,Thunderstorms,Night,Friday,no,Majlis Perbandaran Ampang Jaya
indian,female,fat,41,yes,no_kids,big,purple,formal,purple,,blue,long,clothes,4,10,yes,50,,18,2,Light rain,Evening,Monday,no,Majlis Perbandaran Ampang Jaya
chinese,female,moderate,,yes,young,small,brown,traditional,white,long sleeve,black,short,blankets,5,9,yes,50,1,14,1,Partly cloudy,Late Night,Sunday,no,Kuala Lumpur
,male,thin,49,yes,toddler,big,,,orange,,red,short,blankets,4,7,yes,25,4,7,2,Broken clouds,Noon,Thursday,no,Majlis Perbandaran Ampang Jaya
,female,thin,23,no,baby,big,black,casual,,short_sleeve,brown,long,clothes,3,7,no,26,3,21,2,Passing clouds,Night,Tuesday,no,Majlis Perbandaran Ampang Jaya
foreigner,female,moderate,59,no,baby,big,,traditional,green,long sleeve,black,short,blankets,3,9,yes,43,3,7,2,Partly cloudy,Early Morning,Tuesday,no,Majlis Perbandaran Ampang Jaya
indian,female,fat,50,no,young,small,grey,traditional,green,short_sleeve,orange,short,blankets,6,9,no,51,5,12,1,Passing clouds,Early Morning,Friday,no,Majlis Perbandaran Ampang Jaya
foreigner,male,moderate,,no,baby,small,brown,traditional,pink,long sleeve,black,short,,4,8,yes,46,0,13,2,Partly sunny,Morning,Monday,no,Kuala Lumpur
foreigner,male,moderate,52,yes,toddler,small,black,formal,brown,long sleeve,pink,short,,6,9,no,57,0,10,3,Mostly cloudy,Night,Thursday,no,Kuala Lumpur
malay,male,fat,59,yes,toddler,big,purple,casual,orange,,blue,short,blankets,6,10,no,49,5,18,3,Partly cloudy,Late Night,Wednesday,no,Majlis Perbandaran Ampang Jaya
foreigner,male,moderate,34,no,toddler,big,grey,formal,white,long sleeve,black,short,blankets,6,9,no,42,0,20,3,Broken clouds,Noon,Thursday,no,Kuala Lumpur
,female,moderate,30,no,no_kids,small,red,formal,pink,short_sleeve,blue_jeans,short,blankets,4,7,no,52,5,15,3,Broken clouds,Noon,Thursday,yes,Kuala Lumpur
malay,female,thin,27,yes,toddler,small,red,casual,red,short_sleeve,black,long,blankets,6,8,yes,18,4,12,1,Broken clouds,Evening,Friday,no,Majlis Perbandaran Ampang Jaya
chinese,female,thin,,yes,young,small,yellow,casual,blue,short_sleeve,purple,long,blankets,4,10,yes,29,4,16,2,Partly cloudy,Late Night,Thursday,no,Majlis Perbandaran Ampang Jaya
,male,fat,53,yes,toddler,small,brown,traditional,grey,long sleeve,,short,clothes,4,10,no,58,3,15,1,Partly cloudy,Morning,Saturday,no,Majlis Perbandaran Kajang
indian,male,thin,57,yes,baby,big,purple,casual,yellow,,grey,long,blankets,6,10,yes,58,3,20,2,Broken clouds,Noon,Sunday,yes,Kuala Lumpur
foreigner,male,,23,yes,toddler,big,yellow,formal,blue,long sleeve,orange,short,blankets,5,10,yes,13,1,9,1,Broken clouds,Noon,Thursday,no,Kuala Lumpur
foreigner,male,moderate,26,yes,young,small,pink,traditional,pink,short_sleeve,brown,short,blankets,4,7,no,33,3,19,1,Broken clouds,Noon,Sunday,no,Kuala Lumpur
